address,serviceQualityPoints,communityContributionFactor,finalScore
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xe5766003ee2aa90f402c7add7d3b30c6ea917b73,0,1.9,0
0xdbe9d7a0ca72c5d35adf9c5be80ac13b9345ef59,905,1.0,905
0xd96472b8adedbc5ef317f19518aa779ba2fe9f09,960,1.0,960
0xd82d442442da37d002c4969e5d2c9bb232e940c6,999,1.6,1598
0xd48c43f46ad5b2b6881257a625118a049cbf5f70,964,1.0,964
0xd39255c361b5f5ecd64569c07a91b457e529ed5a,984,1.0,984
0xc9f911e0eec29e5c78fac7bb4c4b6ae10ea2f9f5,999,1.9,1898
0xc9f911e0eec29e5c78fac7bb4c4b6ae10ea2f9f5,664,1.9,1261
0xc9f911e0eec29e5c78fac7bb4c4b6ae10ea2f9f5,440,1.9,836
0xc6f6df704e02bfd51245d657a06f81080cf3e192,809,1.0,809
0xc3bcac48392d19f47bd59c300ade7b107c11d1f6,999,1.0,999
0xc052ecd434bb42e4e8aa1f6ff9282e626ab1301f,991,1.0,991
0xbaa2fac30e43031d9d181ab1d45970c1f7ac1b38,999,1.3,1298
0xbaa2fac30e43031d9d181ab1d45970c1f7ac1b38,666,1.3,865
0xbaa2fac30e43031d9d181ab1d45970c1f7ac1b38,444,1.3,577
0xbaa2fac30e43031d9d181ab1d45970c1f7ac1b38,296,1.3,384
0xbaa2fac30e43031d9d181ab1d45970c1f7ac1b38,197,1.3,256
0xb2e8334819f953971b456775c6929398cad432b1,988,1.0,988
0xb2e8334819f953971b456775c6929398cad432b1,657,1.0,657
0xad50dd0180f9bd11ab22e480150f35774162260c,999,1.6,1598
0xaa163c47065c22d17ed1c47e3e244337d2056c17,998,1.3,1297
0xaa163c47065c22d17ed1c47e3e244337d2056c17,665,1.3,864
0xaa163c47065c22d17ed1c47e3e244337d2056c17,442,1.3,574
0xaa163c47065c22d17ed1c47e3e244337d2056c17,294,1.3,382
0xaa163c47065c22d17ed1c47e3e244337d2056c17,189,1.3,245
0xa9c0bcb0e4e0ccb9823574098a82ba2ece85a143,1000,1.0,1000
0xa9c0bcb0e4e0ccb9823574098a82ba2ece85a143,666,1.0,666
0xa9c0bcb0e4e0ccb9823574098a82ba2ece85a143,444,1.0,444
0xa9c0bcb0e4e0ccb9823574098a82ba2ece85a143,295,1.0,295
0xa9c0bcb0e4e0ccb9823574098a82ba2ece85a143,196,1.0,196
0xa8af71ab8fa965c45a932c65165b064cf2b51d56,994,1.0,994
0xa6028e873729cb87bf62167a2f285f90feef5e45,882,1.0,882
0xa1d865602cd787cdbe3ec138a2e85284423388b2,999,1.3,1298
0xa1d865602cd787cdbe3ec138a2e85284423388b2,665,1.3,864
0xa0cc0777ff3fcc842b411adcfb54a1e2fd940f4a,999,1.0,999
0xa0cc0777ff3fcc842b411adcfb54a1e2fd940f4a,666,1.0,666
0xa0cc0777ff3fcc842b411adcfb54a1e2fd940f4a,444,1.0,444
0x9f2e49faeada1e985f035ebc3fc7ae14af49888e,980,1.3,1274
0x9c50992cd3682958a81d883c6ddbeb896848eba3,1000,1.0,1000
0x9c50992cd3682958a81d883c6ddbeb896848eba3,666,1.0,666
0x9c50992cd3682958a81d883c6ddbeb896848eba3,444,1.0,444
0x9c50992cd3682958a81d883c6ddbeb896848eba3,296,1.0,296
0x9b5255e672d7f3d6bd7aa4ce63e3a8a9f3a6ebe0,999,1.0,999
0x9a5a4fbf0c4821637afe4027611ebc998f637924,996,1.0,996
0x9a5a4fbf0c4821637afe4027611ebc998f637924,664,1.0,664
0x9a5a4fbf0c4821637afe4027611ebc998f637924,442,1.0,442
0x9a5a4fbf0c4821637afe4027611ebc998f637924,295,1.0,295
0x9a5a4fbf0c4821637afe4027611ebc998f637924,196,1.0,196
0x98fa7f3afae48b3f703e6f8bd99ccff6d438e4dd,999,1.0,999
0x94cd07b84f1d06611cdad96eeea8ce164c425685,1000,1.9,1900
0x94cd07b84f1d06611cdad96eeea8ce164c425685,666,1.9,1265
0x94cd07b84f1d06611cdad96eeea8ce164c425685,444,1.9,843
0x9237d38c72fe68cec400cc5acb257fb3bc890d97,915,1.0,915
0x86423fe293dd85b36588a080f3adbb01c2fb2ea6,999,1.9,1898
0x86423fe293dd85b36588a080f3adbb01c2fb2ea6,666,1.9,1265
0x815aab411a45a30a6039d83c8daf1ba54612c8c2,998,1.9,1896
0x815aab411a45a30a6039d83c8daf1ba54612c8c2,663,1.9,1259
0x815aab411a45a30a6039d83c8daf1ba54612c8c2,441,1.9,837
0x802443053b77deb415dc2f26bc582258d2d2d456,999,1.0,999
0x802443053b77deb415dc2f26bc582258d2d2d456,658,1.0,658
0x72634673d724e8e8f2b39d16ef1773b444306ed0,999,1.0,999
0x72634673d724e8e8f2b39d16ef1773b444306ed0,666,1.0,666
0x72634673d724e8e8f2b39d16ef1773b444306ed0,444,1.0,444
0x72634673d724e8e8f2b39d16ef1773b444306ed0,296,1.0,296
0x71b828874dac33b01fcc87d7d1aa8da032aa9f87,986,1.0,986
0x71b828874dac33b01fcc87d7d1aa8da032aa9f87,652,1.0,652
0x71b828874dac33b01fcc87d7d1aa8da032aa9f87,433,1.0,433
0x6c0fadd48e7e236bb10f7d69148be5502a18ca57,999,1.0,999
0x6c0fadd48e7e236bb10f7d69148be5502a18ca57,666,1.0,666
0x6c0fadd48e7e236bb10f7d69148be5502a18ca57,444,1.0,444
0x6c0fadd48e7e236bb10f7d69148be5502a18ca57,295,1.0,295
0x6c0fadd48e7e236bb10f7d69148be5502a18ca57,194,1.0,194
0x5f5d9c3e1da76de22978bfb880f518469f3d572b,997,1.6,1595
0x5c75e97fd18ad86ebbb562ad5c3569a85a4dd873,994,1.0,994
0x5c75e97fd18ad86ebbb562ad5c3569a85a4dd873,660,1.0,660
0x5c0897b4f2622f15efe93132b7f4162656238a28,955,1.0,955
0x5bc1f340473a47f12acf63022c5bbf5c5712c7f8,999,1.0,999
0x5af927869042dbe3e16c4a2aa72849415aa80168,931,1.0,931
0x57cf5c9e4e5b4b41003bb77c6be0e01973d332c3,999,1.0,999
0x57cf5c9e4e5b4b41003bb77c6be0e01973d332c3,643,1.0,643
0x56cb6bb8dee286e0a2c9edab3ae75a16717b90d7,999,1.9,1898
0x56cb6bb8dee286e0a2c9edab3ae75a16717b90d7,666,1.9,1265
0x56cb6bb8dee286e0a2c9edab3ae75a16717b90d7,444,1.9,843
0x56cb6bb8dee286e0a2c9edab3ae75a16717b90d7,296,1.9,562
0x56cb6bb8dee286e0a2c9edab3ae75a16717b90d7,197,1.9,374
0x52f40199ce7b08e7e2be3c4a7e2762e81df66ae9,935,1.0,935
0x52f40199ce7b08e7e2be3c4a7e2762e81df66ae9,623,1.0,623
0x52f40199ce7b08e7e2be3c4a7e2762e81df66ae9,415,1.0,415
0x4b09a8efdfd96dc1a7e1b92587d309f916259a28,999,1.0,999
0x45f2abce86a938bb4d4633048dfa15bed7a5e310,1000,1.0,1000
0x45f2abce86a938bb4d4633048dfa15bed7a5e310,666,1.0,666
0x45f2abce86a938bb4d4633048dfa15bed7a5e310,423,1.0,423
0x45f2abce86a938bb4d4633048dfa15bed7a5e310,282,1.0,282
0x3fb49bae5c4ec9600930ded60dc2237d1601cc49,999,1.0,999
0x3fb49bae5c4ec9600930ded60dc2237d1601cc49,666,1.0,666
0x3f1e6aa6ebaeebcf463991cb545b2186beabaf3f,999,1.0,999
0x3f1e6aa6ebaeebcf463991cb545b2186beabaf3f,666,1.0,666
0x3f1e6aa6ebaeebcf463991cb545b2186beabaf3f,444,1.0,444
0x3f1e6aa6ebaeebcf463991cb545b2186beabaf3f,296,1.0,296
0x3f1e6aa6ebaeebcf463991cb545b2186beabaf3f,197,1.0,197
0x3d4ab0559ca73ef2b71e5ede11dcf73ce6c5e2d1,997,1.0,997
0x3d4ab0559ca73ef2b71e5ede11dcf73ce6c5e2d1,664,1.0,664
0x3d4ab0559ca73ef2b71e5ede11dcf73ce6c5e2d1,440,1.0,440
0x3d4ab0559ca73ef2b71e5ede11dcf73ce6c5e2d1,293,1.0,293
0x3d4ab0559ca73ef2b71e5ede11dcf73ce6c5e2d1,195,1.0,195
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,999,1.0,999
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,666,1.0,666
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,444,1.0,444
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,296,1.0,296
0x372042bb33056fc5d878bfe7274d8c7d85ce9cc7,197,1.0,197
0x36393255e8bb9042c2ed32728acd01c0e013ae48,720,1.0,720
0x36393255e8bb9042c2ed32728acd01c0e013ae48,480,1.0,480
0x36393255e8bb9042c2ed32728acd01c0e013ae48,320,1.0,320
0x36393255e8bb9042c2ed32728acd01c0e013ae48,213,1.0,213
0x36393255e8bb9042c2ed32728acd01c0e013ae48,142,1.0,142
0x2ebd7fd2049959f1294383d7ead0de9d5495159a,944,1.0,944
0x2ebd7fd2049959f1294383d7ead0de9d5495159a,551,1.0,551
0x2eaec141680f711d2b13a7771b1f006392555c00,999,1.3,1298
0x2eaec141680f711d2b13a7771b1f006392555c00,666,1.3,865
0x26a51ba7ccb38f2cd700fcfcce3779adff74ddd1,999,1.3,1298
0x259d148468bc7c7d9db54b57b6f4b80f53e4537f,989,1.0,989
0x214ad13e1a8c5c0ac0a4b8e651e20b12c9339eb2,997,1.3,1296
0x214ad13e1a8c5c0ac0a4b8e651e20b12c9339eb2,663,1.3,861
0x214ad13e1a8c5c0ac0a4b8e651e20b12c9339eb2,434,1.3,564
0x214ad13e1a8c5c0ac0a4b8e651e20b12c9339eb2,287,1.3,373
0x214ad13e1a8c5c0ac0a4b8e651e20b12c9339eb2,178,1.3,231
0x1d7bf17ca3c8167dfda37bf895c6115b650efaa1,941,1.0,941
0x1cf207a9a92a8c6a087e70f665c2c4e23d377baf,999,1.3,1298
0x1cf207a9a92a8c6a087e70f665c2c4e23d377baf,666,1.3,865
0x1cf207a9a92a8c6a087e70f665c2c4e23d377baf,444,1.3,577
0x1b54c1f2ff179af8dfb422576bd7e6aa37e5194d,998,1.3,1297
0x1b54c1f2ff179af8dfb422576bd7e6aa37e5194d,664,1.3,863
0x1b54c1f2ff179af8dfb422576bd7e6aa37e5194d,442,1.3,574
0x1b54c1f2ff179af8dfb422576bd7e6aa37e5194d,293,1.3,380
0x1b54c1f2ff179af8dfb422576bd7e6aa37e5194d,195,1.3,253
0x1b4099c85932ef5eb70df0d958583022c0696188,999,1.0,999
0x1b4099c85932ef5eb70df0d958583022c0696188,666,1.0,666
0x1619b05c52bffce584733ed3a95d0d901c67209c,1000,1.3,1300
0x1619b05c52bffce584733ed3a95d0d901c67209c,664,1.3,863
0x1619b05c52bffce584733ed3a95d0d901c67209c,436,1.3,566
0x1619b05c52bffce584733ed3a95d0d901c67209c,290,1.3,377
0x14fef5eefb710498eea2adf1e333ef6d732bd371,999,1.0,999
0x12cd98960efd967745488b247b88bde0fe3cfe10,999,1.3,1298
0x0c7118c57bd3650b7832272cbb32734536a59a36,996,1.0,996
0x0c7118c57bd3650b7832272cbb32734536a59a36,664,1.0,664
0x0c7118c57bd3650b7832272cbb32734536a59a36,442,1.0,442
0x0c7118c57bd3650b7832272cbb32734536a59a36,295,1.0,295
0x0c7118c57bd3650b7832272cbb32734536a59a36,196,1.0,196
0x0a88f91265690ae26aa9999734ab00533380436b,1000,1.3,1300
0x0a88f91265690ae26aa9999734ab00533380436b,666,1.3,865
0x0a88f91265690ae26aa9999734ab00533380436b,440,1.3,572
0x06d1d8fa73cb3b5695b661203491a13c07731933,807,1.0,807
0x069f99c8aa5189f8508d56d05b8b0153551d1ad0,999,1.0,999
0x000000d5eb1528a06c83f0b4f2c86f5b48500000,998,1.6,1596
0x000000d5eb1528a06c83f0b4f2c86f5b48500000,662,1.6,1059
0x000000d5eb1528a06c83f0b4f2c86f5b48500000,441,1.6,705
0x000000d5eb1528a06c83f0b4f2c86f5b48500000,284,1.6,454
